253440886	54.6962993	35.9719774	Шаня	2001780	189000	
253440894	54.6905377	36.0722695	Пятовская	2000368	188900	
253440910	54.6192681	36.1562289	Муратовка	2000343	188718	
253440936	54.5655513	36.2444807	Азарово	2000369	188601	
253463302	55.0647482	38.8515068	Щурово	2001197	234102	
253612248	54.4642581	19.9346875	Мамоново	2058860		
253733504	46.6544423	48.9159491	рзд. №5			
253739581	51.2924040	47.7782873	Плес	2020896		
254916960	56.8686367	35.8391120	Дорошиха	2006002	061659	
255593178	55.4296414	36.8401711	Бекасово I	2000998	180010	
255595272	55.2572760	37.4504586	Сандарово	2001418	181206	
257345546	55.6683671	98.4575512	Облепиха	2054303		
257345603	55.7119007	98.3965271	Разгон	2054302		
258050799	53.3520576	49.4803789	Отвага	2024792		
258669700	55.7802311	37.8627273	Стройка	2000169	230205	
259630429	55.7301237	38.2023378	Электроугли	2001325	230600	
260380366	51.5011916	36.6555244	Шумаково	2014337		
260381479	54.5746997	37.5948440	Шульгино	2000168	210729	
260751095	56.1566038	43.8134868	Окская	2060030	264926	
264574080	52.9041360	38.3206843	370 км	2014803		
264574676	52.6013436	38.3710933	Пажень	2000252	218307	
265301052	59.9305358	30.4396951	Санкт-Петербург - Ладожский	2004006	037109	
265402451	55.7485105	41.7662822	Безлесная	2060387	240156	
265719877	55.5041542	40.9614572	Заколпье	2060381	243008	
265719887	55.5050106	41.3232043	Добрятино			
265719893	55.5471751	41.6945286	Кондаково	2061479	243530	
265720074	55.5020160	40.5988207	Нечаевская			
265720138	55.5005627	40.3008020	Ильичёв	2060375	242823	
265721144	56.3045463	41.3848958	Ковров-Грузовой	2060361	240902	
265769931	56.3918671	38.3079348	Бужаниново	2001129	236702	
265770343	56.3019894	38.1368664	Сергиев Посад	2000753	236305	
265777737	52.5974565	38.4401440	186 км	2000713	218311	
265778043	52.6045710	38.5063467	Лучек	2014280		
265811563	55.5464311	36.3719528	Дорохово	2001002	183004	
266687908	59.5445273	30.8819136	Тосно	2004148	031302	
266690809	58.5382975	31.2553559	Менделеевская			
266730582	53.3657077	38.0746561	Турдей	2000138	225006	
266730979	54.1319349	38.1796360	Грицово	2000127	226604	
